[Info  - 1:50:19 AM] Angular language server process ID: 28189
[Error - 1:51:46 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:51:46 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:51:48 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:51:50 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:51:51 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:51:52 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:51:53 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:52:07 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:52:12 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:52:31 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:52:44 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:52:47 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Info  - 1:52:56 AM] Enabling Ivy language service for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/tsconfig.json.
